id,rol,victima,sexo,edad,fecha_fallecimiento,categoria_edad
2017-0127,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,24.0,2017-10-16,entre_20_y_40
2017-0128,PEATON,PEATON,FEMENINO,60.0,2017-10-17,entre_60_y_80
2017-0129,CONDUCTOR,MOTO,MASCULINO,57.0,2017-10-26,entre_40_y_60
2017-0130,CONDUCTOR,AUTO,MASCULINO,23.0,2017-10-27,entre_20_y_40
2017-0132,CONDUCTOR,MOTO,MASCULINO,23.0,2017-10-30,entre_20_y_40
2017-0134,PEATON,PEATON,FEMENINO,47.0,2017-11-06,entre_40_y_60
2017-0135,CONDUCTOR,MOTO,MASCULINO,24.0,2017-11-07,entre_20_y_40
2017-0136,PEATON,PEATON,MASCULINO,55.0,2017-11-16,entre_40_y_60
2017-0137,PEATON,PEATON,FEMENINO,60.0,2017-11-17,entre_60_y_80
2017-0138,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25.0,2017-11-19,entre_20_y_40
2017-0139,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,15.0,2017-11-19,entre_0_y_20
2017-0140,CONDUCTOR,MOTO,MASCULINO,24.0,2017-11-19,entre_20_y_40
2017-0141,PEATON,PEATON,FEMENINO,22.0,2017-11-23,entre_20_y_40
2017-0143,CONDUCTOR,AUTO,MASCULINO,50.0,2017-11-25,entre_40_y_60
2017-0144,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,50.0,2017-11-26,entre_40_y_60
2017-0145,CONDUCTOR,MOTO,MASCULINO,58.0,2017-11-26,entre_40_y_60
2017-0147,CONDUCTOR,MOTO,MASCULINO,49.0,2017-11-28,entre_40_y_60
2017-0148,PEATON,PEATON,FEMENINO,82.0,2017-11-29,mas_de_80
2017-0149,PEATON,PEATON,MASCULINO,13.0,2017-11-30,entre_0_y_20
2017-0150,PEATON,PEATON,MASCULINO,56.0,2017-12-04,entre_40_y_60
2017-0151,PEATON,PEATON,MASCULINO,0.0,2017-12-04,edad_desconocida
2017-0152,CICLISTA,BICICLETA,MASCULINO,19.0,2017-12-06,entre_0_y_20
2017-0153,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,0.0,2017-12-12,edad_desconocida
2017-0153,CONDUCTOR,MOTO,MASCULINO,30.0,2017-12-12,entre_20_y_40
2017-0154,PEATON,PEATON,MASCULINO,76.0,2017-12-11,entre_60_y_80
2017-0155,SD,SD,MASCULINO,77.0,,entre_60_y_80
2017-0157,CONDUCTOR,AUTO,MASCULINO,53.0,2017-12-17,entre_40_y_60
2017-0158,CONDUCTOR,MOTO,MASCULINO,32.0,2017-12-18,entre_20_y_40
2017-0159,CONDUCTOR,MOTO,MASCULINO,27.0,2017-12-20,entre_20_y_40
2017-0160,PEATON,PEATON,FEMENINO,30.0,2017-12-22,entre_20_y_40
2017-0161,PEATON,PEATON,FEMENINO,30.0,2017-12-26,entre_20_y_40
2018-0001,PEATON,PEATON,MASCULINO,83.0,2018-01-02,mas_de_80
2018-0002,CICLISTA,BICICLETA,FEMENINO,26.0,2018-01-03,entre_20_y_40
2018-0003,PEATON,PEATON,FEMENINO,58.0,2018-01-05,entre_40_y_60
2018-0004,CONDUCTOR,MOTO,MASCULINO,39.0,2018-01-09,entre_20_y_40
2018-0005,PEATON,PEATON,MASCULINO,54.0,2018-01-09,entre_40_y_60
2018-0006,CICLISTA,BICICLETA,FEMENINO,45.0,2018-01-10,entre_40_y_60
2018-0007,CONDUCTOR,AUTO,MASCULINO,46.0,2018-01-11,entre_40_y_60
2018-0008,CONDUCTOR,MOTO,FEMENINO,32.0,2018-01-12,entre_20_y_40
2018-0009,CONDUCTOR,MOTO,MASCULINO,19.0,2018-01-14,entre_0_y_20
2018-0010,CONDUCTOR,MOTO,MASCULINO,40.0,2018-01-18,entre_40_y_60
2018-0011,PEATON,PEATON,MASCULINO,84.0,2018-01-19,mas_de_80
2018-0012,CONDUCTOR,MOTO,MASCULINO,20.0,2018-01-26,entre_20_y_40
2018-0013,CONDUCTOR,MOTO,MASCULINO,44.0,2018-01-28,entre_40_y_60
2018-0014,PEATON,PEATON,MASCULINO,0.0,2018-02-04,edad_desconocida
2018-0015,CONDUCTOR,MOTO,MASCULINO,28.0,2018-02-06,entre_20_y_40
2018-0015,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,19.0,2018-02-06,entre_0_y_20
2018-0016,CONDUCTOR,MOTO,MASCULINO,31.0,2018-02-15,entre_20_y_40
2018-0017,PEATON,PEATON,MASCULINO,35.0,2018-02-20,entre_20_y_40
2018-0018,CONDUCTOR,MOTO,MASCULINO,26.0,2018-02-17,entre_20_y_40
